S.No.,Pin Code,City Name,State,Country,Is Active
313,127311,Bhiwani,Haryana,India,TRUE
314,127312,Bhiwani,Haryana,India,TRUE
315,131001,Sonipat,Haryana,India,TRUE
316,131002,Sonipat,Haryana,India,TRUE
317,131021,Sonipat,Haryana,India,TRUE
318,131022,Sonipat,Haryana,India,TRUE
319,131023,Sonipat,Haryana,India,TRUE
320,131024,Sonipat,Haryana,India,TRUE
321,131027,Sonipat,Haryana,India,TRUE
322,131028,Sonipat,Haryana,India,TRUE
323,131029,Sonipat,Haryana,India,TRUE
324,131032,Sonipat,Haryana,India,TRUE
325,131039,Sonipat,Haryana,India,TRUE
326,131101,Sonipat,Haryana,India,TRUE
327,131102,Sonipat,Haryana,India,TRUE
328,131103,Sonipat,Haryana,India,TRUE
329,131301,Sonipat,Haryana,India,TRUE
330,131302,Sonipat,Haryana,India,TRUE
331,131304,Sonipat,Haryana,India,TRUE
332,131305,Sonipat,Haryana,India,TRUE
333,131306,Sonipat,Haryana,India,TRUE
334,131402,Sonipat,Haryana,India,TRUE
335,131403,Sonipat,Haryana,India,TRUE
336,131408,Sonipat,Haryana,India,TRUE
337,131409,Sonipat,Haryana,India,TRUE
338,132001,Karnal,Haryana,India,TRUE
339,132020,Kaithal,Haryana,India,TRUE
340,132022,Karnal,Haryana,India,TRUE
341,132023,Karnal,Haryana,India,TRUE
342,132024,Karnal,Haryana,India,TRUE
343,132027,Kaithal,Haryana,India,TRUE
344,132036,Karnal,Haryana,India,TRUE
345,132037,Karnal,Haryana,India,TRUE
346,132039,Karnal,Haryana,India,TRUE
347,132040,Karnal,Haryana,India,TRUE
348,132041,Karnal,Haryana,India,TRUE
349,132046,Karnal,Haryana,India,TRUE
350,132048,Panipat,Haryana,India,TRUE
351,132051,Panipat,Haryana,India,TRUE
352,132054,Karnal,Haryana,India,TRUE
353,132101,Panipat,Haryana,India,TRUE
354,132102,Panipat,Haryana,India,TRUE
355,132103,Panipat,Haryana,India,TRUE
356,132104,Panipat,Haryana,India,TRUE
357,132105,Panipat,Haryana,India,TRUE
358,132106,Panipat,Haryana,India,TRUE
359,132107,Panipat,Haryana,India,TRUE
360,132108,Panipat,Haryana,India,TRUE
361,132110,Panipat,Haryana,India,TRUE
362,132111,Karnal,Haryana,India,TRUE
363,132113,Panipat,Haryana,India,TRUE
